sample_number,timepoint,treatment,replicate,fwd,rev,fwd_reads,rev_reads,total_reads
1,T1,Matoaka,1,V350357263_L03_1_1.fq.gz,V350357263_L03_1_2.fq.gz,9730927,9730927,19461854
2,T1,Matoaka,2,V350357263_L03_2_1.fq.gz,V350357263_L03_2_2.fq.gz,12595624,12595624,25191248
3,T1,Matoaka,3,V350357263_L03_3_1.fq.gz,V350357263_L03_3_2.fq.gz,8917187,8917187,17834374
4,T1,Control,1,V350357263_L03_4_1.fq.gz,V350357263_L03_4_2.fq.gz,10737789,10737789,21475578
5,T1,Control,2,V350357263_L03_5_1.fq.gz,V350357263_L03_5_2.fq.gz,9673975,9673975,19347950
6,T1,Control,3,V350357263_L03_6_1.fq.gz,V350357263_L03_6_2.fq.gz,11237786,11237786,22475572
7,T3,Matoaka,1,V350357263_L03_7_1.fq.gz,V350357263_L03_7_2.fq.gz,14815269,14815269,29630538
8,T3,Matoaka,2,V350357263_L03_8_1.fq.gz,V350357263_L03_8_2.fq.gz,12085183,12085183,24170366
9,T3,Matoaka,3,V350357263_L03_9_1.fq.gz,V350357263_L03_9_2.fq.gz,15000329,15000329,30000658
10,T3,Control,1,V350357263_L03_10_1.fq.gz,V350357263_L03_10_2.fq.gz,13568760,13568760,27137520
11,T3,Control,2,V350357263_L03_11_1.fq.gz,V350357263_L03_11_2.fq.gz,11818446,11818446,23636892
12,T3,Control,3,V350357263_L03_12_1.fq.gz,V350357263_L03_12_2.fq.gz,11894863,11894863,23789726
13,T4,Matoaka,1,V350357263_L03_13_1.fq.gz,V350357263_L03_13_2.fq.gz,11625079,11625079,23250158
14,T4,Matoaka,2,V350357263_L03_14_1.fq.gz,V350357263_L03_14_2.fq.gz,13237633,13237633,26475266
15,T4,Matoaka,3,V350357263_L03_15_1.fq.gz,V350357263_L03_15_2.fq.gz,13166067,13166067,26332134
16,T4,Control,1,V350357263_L03_16_1.fq.gz,V350357263_L03_16_2.fq.gz,13754666,13754666,27509332
17,T4,Control,2,V350357263_L03_17_1.fq.gz,V350357263_L03_17_2.fq.gz,11851526,11851526,23703052
18,T4,Control,3,V350357263_L03_18_1.fq.gz,V350357263_L03_18_2.fq.gz,12019484,12019484,24038968
